Año,Semestre,Código,Nombre,Créditos,Requisito,Rec_cod,Bibliografía
1,I,IMA-111,Introducción al Cálculo,7 SCT,Ingreso,,"Dennis G. Zill and Jacqueline M. Dewar. (2012) Álgebra, trigonometría y geometría analítica, México: McGrawHill.; Apostol T. (1986) Análisis matemático, Barcelona: Reverté.; Bartle, R. G. and Sherbert, D. R. (2003) Introducción al análisis matemático de una variable, México: Limusa."
1,I,IMA-112,Introducción al Álgebra,7 SCT,Ingreso,,"Zill, D. Dewar, J (2012) Álgebra, trigonometría y geometría analítica, México: McGrawHill.; Suppes, P. Hill, S. (2013) Introducción a la lógica matemática, México, MX.: Reverte.; Lipschutz, S. (1964) Teoría y problemas de teoría de conjuntos y temas afines, Madrid : McGraw-Hill."
1,I,IMA-113,Geometría,6 SCT,Ingreso,,"Aboughantous C. H. (2010) A High School First Course in Euclidean Plane Geometry, Boca Ratón: Universal.; Guerrero, A. (2006) Geometría axiomática, Bogotá: Ecoe Ediciones.; Lehmann, C. H. (1986) Geometría Analítica, México: Limusa."
1,I,IMA-114,Introducción a la Ingeniería Matemática,4 SCT,Ingreso,,"González O., and Villamil M. (2013) Introducción a la ingeniería, Colombia: ECOE ediciones.; Wright, P. (2004) Introducción a la ingeniería, México, D.F.: Limusa Wiley.; Hagen, K. (2009) Introducción a la Ingeniería Enfoque en la resolución de problemas, México: Ed.Person."
1,I,IMA-115,Comunicación Oral y Escrita en la Ingeniería Matemática,3 SCT,Ingreso,,"Díaz Barriga, R. (2001) Redacción técnica, México: Instituto Politécnico Nacional.; Fonseca, M. (2011) Comunicación oral y escrita, Naucalpan de Juárez: Pearson Educación.; Verderber, R., Fernández, P. J. A., Lama, N. M. A., Soto, J. A., Verderber, K. S., and Sellnow, D. D. (2016) Comunicación oral efectiva en la era digital, México: Cengage Learning."
1,I,IFG-100,Inglés I,3 SCT,Ingreso,,"No se dispone de bibliografía."
1,II,IMA-121,Cálculo I,6 SCT,Requisito,IMA-111,"Piskunov N. (2004) Cálculo diferencial e integral, México: Limusa‐Noriega Editores.; Bradley G.L., Smith K.J. (1998) Cálculo de una variable, España: Prentice‐Hall.; Apostol TM. (1972) Análisis matemático, España: Editorial Reverté."
1,II,IMA-122,Álgebra I,6 SCT,Requisito,IMA-112,"Sullivan, M. (2014) Algebra y trigonometría, México: Pearson Education.; Sigler, L.E. (1981) Algebra, New York: Springer-Verlag.; Lay, D. and Mcdonald, J. (2017) Linear Algebra and Its Applications, Harlow: Pearson Education."
1,II,IMA-123,Física I,5 SCT,Requisito,IMA-112,"Serway, R. A., and Jewett, J. W. (2015) Física para ciencias e ingeniería, volumen I, 9a ed, Colombia: Cengage Learning.; Resnick R., and Halliday D. (2013) Fundamentals of Physics 10a ed,, EE.UU: John Wiley & Sons Inc.; Tipler, M. (2010) Física para la ciencia y la tecnología volumen I, 6a ed., México: Editorial Reverté."
1,II,IMA-124,Fundamentos de Economía I,5 SCT,Sin requisito,,"Nicholson, W., Mercado, G. E. C., and Snyder, C. (2015) Teoría microeconómica: principios básicos y ampliaciones, México, D.F: Cengage Learning.; Varian, H. R. (1998) Análisis microeconómico, Barcelona : Antoni Bosch Editor.; Pindyck, R. S., Rubinfeld, D. L., Rabasco, E. (2013) Microeconomía, Italia: Pearson Italia."
